Order,Astronaut,Type,Date,Spacecraft
234,Frank Culbertson,Orbital,15 November 1990,STS-38
,Charles Gemar,Orbital,15 November 1990,STS-38
,Carl Meade,Orbital,15 November 1990,STS-38
237,Samuel Durrance,Orbital,2 December 1990,STS-35
,Ronald Parise,Orbital,2 December 1990,STS-35
239,Viktor Afanasyev,Orbital,2 December 1990,Soyuz TM-11
,Tohiro Akiyama,Orbital,2 December 1990,Soyuz TM-11
241,Jerome Apt,Orbital,5 April 1991,STS-37
,Kenneth Cameron,Orbital,5 April 1991,STS-37
,Linda Godwin,Orbital,5 April 1991,STS-37
244,Lloyd Hammond,Orbital,28 April 1991,STS-39
,Gregory Harbaugh,Orbital,28 April 1991,STS-39
,Richard Hieb,Orbital,28 April 1991,STS-39
,Donald McMonagle,Orbital,28 April 1991,STS-39
,Charles Veach,Orbital,28 April 1991,STS-39
249,Anatoli Artsebarsky,Orbital,18 May 1991,Soyuz TM-12
,Helen Sharman,Orbital,18 May 1991,Soyuz TM-12
251,Francis Gaffney,Orbital,5 June 1991,STS-40
,Sidney Gutierrez,Orbital,5 June 1991,STS-40
,Millie Hughes-Fulford,Orbital,5 June 1991,STS-40
,Tamara Jernigan,Orbital,5 June 1991,STS-40
255,Michael Baker,Orbital,2 August 1991,STS-43
256,Kenneth Reightler,Orbital,12 September 1991,STS-48
257,Toktar Aubakirov,Orbital,2 October 1991,Soyuz TM-13
,Franz Viehböck,Orbital,2 October 1991,Soyuz TM-13
259,Thomas Hennen,Orbital,25 November 1991,STS-44
,Terence Henricks,Orbital,25 November 1991,STS-44
,Mario Runco,Orbital,25 November 1991,STS-44
,James Voss,Orbital,25 November 1991,STS-44
263,Roberta Bondar,Orbital,22 January 1992,STS-42
,Stephen Oswald,Orbital,22 January 1992,STS-42
,William Readdy,Orbital,22 January 1992,STS-42
266,Klaus-Dietrich Flade,Orbital,17 March 1992,Soyuz TM-14
,Aleksandr Kaleri,Orbital,17 March 1992,Soyuz TM-14
268,Brian Duffy,Orbital,24 March 1992,STS-45
,Colin Foale,Orbital,24 March 1992,STS-45
,Dirk Frimout,Orbital,24 March 1992,STS-45
271,Kevin Chilton,Orbital,7 May 1992,STS-49
272,Kenneth Bowersox,Orbital,25 June 1992,STS-50
,Lawrence DeLucas,Orbital,25 June 1992,STS-50
,Eugene Trinh,Orbital,25 June 1992,STS-50
275,Sergei Avdeyev,Orbital,27 July 1992,Soyuz TM-15
,Michel Tognini,Orbital,27 July 1992,Soyuz TM-15
277,Andrew Allen,Orbital,31 July 1992,STS-46
,Franco Malerba,Orbital,31 July 1992,STS-46
,Claude Nicollier,Orbital,31 July 1992,STS-46
280,Curtis Brown,Orbital,12 September 1992,STS-47
,Nancy Davis,Orbital,12 September 1992,STS-47
,Mae Jemison,Orbital,12 September 1992,STS-47
,Mamoru Mohri,Orbital,12 September 1992,STS-47
284,Steven MacLean,Orbital,22 October 1992,STS-52
285,Michael Clifford,Orbital,2 December 1992,STS-53
286,Susan Helms,Orbital,13 January 1993,STS-54
287,Aleksandr Poleshchuk,Orbital,24 January 1993,Soyuz TM-16
288,Kenneth Cockrell,Orbital,8 April 1993,STS-56
,Ellen Ochoa,Orbital,8 April 1993,STS-56
290,Bernard Harris,Orbital,26 April 1993,STS-55
,Charles Precourt,Orbital,26 April 1993,STS-55
,Hans Schlegel,Orbital,26 April 1993,STS-55
,Ulrich Walter,Orbital,26 April 1993,STS-55
294,Nancy Currie,Orbital,21 June 1993,STS-57
,Janice Voss,Orbital,21 June 1993,STS-57
,Peter Wisoff,Orbital,21 June 1993,STS-57
297,Jean-Pierre Haignere,Orbital,1 July 1993,Soyuz TM-17
,Vasili Tsibliyev,Orbital,1 July 1993,Soyuz TM-17
299,Daniel Bursch,Orbital,12 September 1993,STS-51
,James Newman,Orbital,12 September 1993,STS-51
,Carl Walz,Orbital,12 September 1993,STS-51
302,Martin Fettman,Orbital,18 October 1993,STS-58
,William McArthur,Orbital,18 October 1993,STS-58
,Richard Searfoss,Orbital,18 October 1993,STS-58
,David Wolf,Orbital,18 October 1993,STS-58
306,Yuri Usachyov,Orbital,8 January 1994,Soyuz TM-18
307,Ronald Sega,Orbital,3 February 1994,STS-60
308,Thomas Jones,Orbital,9 April 1994,STS-59
309,Yuri Malenchenko,Orbital,1 July 1994,Soyuz TM-19
,Talgat Musabayev,Orbital,1 July 1994,Soyuz TM-19
311,Leroy Chiao,Orbital,8 July 1994,STS-65
,James Halsell,Orbital,8 July 1994,STS-65
,Chiaki Mukai,Orbital,8 July 1994,STS-65
,Donald Thomas,Orbital,8 July 1994,STS-65
315,Jerry Linenger,Orbital,9 September 1994,STS-64
316,Stephen Smith,Orbital,30 September 1994,STS-68
,Terrence Wilcutt,Orbital,30 September 1994,STS-68
318,Yelena Kondakova,Orbital,3 October 1994,Soyuz TM-20
319,Jean-Françis Clervoy,Orbital,3 November 1994,STS-66
,Scott Parazynski,Orbital,3 November 1994,STS-66
,Joseph Tanner,Orbital,3 November 1994,STS-66
322,Eileen Collins,Orbital,3 February 1995,STS-63
323,William Gregory,Orbital,2 March 1995,STS-67
,John Grunsfeld,Orbital,2 March 1995,STS-67
,Wendy Lawrence,Orbital,2 March 1995,STS-67
326,Vladimir Dezhurov,Orbital,14 March 1995,Soyuz TM-21
327,Nikolai Budarin,Orbital,27 June 1995,STS-71
328,Kevin Kregel,Orbital,13 July 1995,STS-70
,Mary Weber,Orbital,13 July 1995,STS-70
330,Yuri Gidzenko,Orbital,3 September 1995,Soyuz TM-22
,Thomas Reiter,Orbital,3 September 1995,Soyuz TM-22
332,Michael Gernhardt,Orbital,7 September 1995,STS-69
333,Catherine Coleman,Orbital,20 October 1995,STS-73
,Fred Leslie,Orbital,20 October 1995,STS-73
,Michael Lopez-Alegria,Orbital,20 October 1995,STS-73
,Kent Rominger,Orbital,20 October 1995,STS-73
,Albert Sacco,Orbital,20 October 1995,STS-73
338,Chris Hadfield,Orbital,12 November 1995,STS-74
339,Daniel Barry,Orbital,11 January 1996,STS-72
,Brent Jett,Orbital,11 January 1996,STS-72
,Winston Scott,Orbital,11 January 1996,STS-72
,Koichi Wakata,Orbital,11 January 1996,STS-72
343,Yuri Onufrienko,Orbital,21 February 1996,Soyuz TM-23
344,Maurizio Cheli,Orbital,22 February 1996,STS-75
,Umberto Guidoni,Orbital,22 February 1996,STS-75
,Scott Horowitz,Orbital,22 February 1996,STS-75
347,Andrew Thomas,Orbital,19 May 1996,STS-77
348,Charles Brady,Orbital,20 June 1996,STS-78
,Jean-Jacques Favier,Orbital,20 June 1996,STS-78
,Richard Linnehan,Orbital,20 June 1996,STS-78
,Robert Thirsk,Orbital,20 June 1996,STS-78
352,Claudie Haignere,Orbital,17 August 1996,Soyuz TM-24
,Valeri Korzun,Orbital,17 August 1996,Soyuz TM-24
354,Reinhold Ewald,Orbital,10 February 1997,Soyuz TM-25
,Aleksandr Lazutkin,Orbital,10 February 1997,Soyuz TM-25
356,Roger Crouch,Orbital,4 April 1997,STS-83
,Gregory Linteris,Orbital,4 April 1997,STS-83
,Susan Still-Kilrain,Orbital,4 April 1997,STS-83
359,Edward Lu,Orbital,15 May 1997,STS-84
,Carlos Noriega,Orbital,15 May 1997,STS-84
361,Pavel Vinogradov,Orbital,5 August 1997,Soyuz TM-26
362,Robert Curbeam,Orbital,7 August 1997,STS-85
,Stephen Robinson,Orbital,7 August 1997,STS-85
,Bjarni Tryggvason,Orbital,7 August 1997,STS-85
365,Michael Bloomfield,Orbital,26 September 1997,STS-86
366,Kalpana Chawla,Orbital,19 November 1997,STS-87
,Takao Doi,Orbital,19 November 1997,STS-87
,Leonid Kadenyuk,Orbital,19 November 1997,STS-87
,Steven Lindsey,Orbital,19 November 1997,STS-87
370,Michael Anderson,Orbital,23 January 1998,STS-89
,Joe Edwards,Orbital,23 January 1998,STS-89
,James Reilly,Orbital,23 January 1998,STS-89
,Saliszan Sharipov,Orbital,23 January 1998,STS-89
374,Léopold Eyharts,Orbital,29 January 1998,Soyuz TM-27
375,Scott Altman,Orbital,17 April 1998,STS-90
,Jay Buckey,Orbital,17 April 1998,STS-90
,Kathryn Hire,Orbital,17 April 1998,STS-90
,James Pawelczyk,Orbital,17 April 1998,STS-90
,Dafydd Williams,Orbital,17 April 1998,STS-90
380,Dominic Gorie,Orbital,2 June 1998,STS-91
,Janet Kavandi,Orbital,2 June 1998,STS-91
382,Yuri Baturin,Orbital,13 August 1998,Soyuz TM-28
,Gennadi Padalka,Orbital,13 August 1998,Soyuz TM-28
384,Pedro Duque,Orbital,29 October 1998,STS-95
385,Frederick Sturckow,Orbital,4 December 1998,STS-88
386,Ivan Bella,Orbital,20 February 1999,Soyuz TM-29
387,Rick Husband,Orbital,27 May 1999,STS-96
,Julie Payette,Orbital,27 May 1999,STS-96
,Valery Tokarev,Orbital,27 May 1999,STS-96
390,Jeffrey Ashby,Orbital,23 July 1999,STS-93
391,Scott Kelly,Orbital,20 December 1999,STS-103
392,Gerhard Thiele,Orbital,11 February 2000,STS-99
393,Sergy Zalyotin,Orbital,4 April 2000,Soyuz TM-30
394,Jeffrey Williams,Orbital,19 May 2000,STS-101
395,Daniel Burbank,Orbital,8 September 2000,STS-106
,Richard Mastracchio,Orbital,8 September 2000,STS-106
,Boris Morukov,Orbital,8 September 2000,STS-106
398,Pamela Melroy,Orbital,11 October 2000,STS-92
399,Mark Polansky,Orbital,7 February 2001,STS-98
400,James Kelly,Orbital,8 March 2001,STS-102
,Paul Richards,Orbital,8 March 2001,STS-102
402,Yuri Lonchakov,Orbital,19 April 2001,STS-100
,John Phillips,Orbital,19 April 2001,STS-100
404,Dennis Tito,Orbital,28 April 2001,Soyuz TM-32
405,Charles Hobaugh,Orbital,12 July 2001,STS-104
406,Patrick Forrester,Orbital,10 August 2001,STS-105
,Mikhail Tyurin,Orbital,10 August 2001,STS-105
408,Konstantin Kozeyev,Orbital,21 October 2001,Soyuz TM-33
409,Mark Kelly,Orbital,5 December 2001,STS-108
,Daniel Tani,Orbital,5 December 2001,STS-108
411,Duane Carey,Orbital,1 March 2002,STS-109
,Michael Massimino,Orbital,1 March 2002,STS-109
413,Stephen Frick,Orbital,8 April 2002,STS-110
,Lee Morin,Orbital,8 April 2002,STS-110
,Rex Walheim,Orbital,8 April 2002,STS-110
416,Mark Shuttleworth,Orbital,25 April 2002,Soyuz TM-34
,Roberto Vittori,Orbital,25 April 2002,Soyuz TM-34
418,Paul Lockhart,Orbital,5 June 2002,STS-111
,Philippe Perrin,Orbital,5 June 2002,STS-111
,Sergei Treschev,Orbital,5 June 2002,STS-111
,Peggy Whitson,Orbital,5 June 2002,STS-111
422,Sandra Magnus,Orbital,7 October 2002,STS-112
,Piers Sellers,Orbital,7 October 2002,STS-112
,Fyodor Yurchikhin,Orbital,7 October 2002,STS-112
425,Frank De Winne,Orbital,30 October 2002,Soyuz TMA-1
426,John Herrington,Orbital,24 November 2002,STS-113
,Donald Pettit,Orbital,24 November 2002,STS-113
428,David Brown,Orbital,16 January 2003,STS-107
,Laurel Clark,Orbital,16 January 2003,STS-107
,William McCool,Orbital,16 January 2003,STS-107
,Ilan Ramon,Orbital,16 January 2003,STS-107
432,Yang Liwei,Orbital,15 October 2003,ShenZhou 5
433,Edward Fincke,Orbital,19 April 2004,Soyuz TMA-4
,André Kuipers,Orbital,19 April 2004,Soyuz TMA-4
435,Michael Melvill,Orbital,21 June 2004,SpaceShipOne 15P
436,Brian Binnie,Orbital,4 October 2004,SpaceShipOne 17P
437,Yuri Shargin,Orbital,14 October 2004,Soyuz TMA-5
438,Charles Camarda,Orbital,26 July 2005,STS-114
,Soichi Noguchi,Orbital,26 July 2005,STS-114
440,Gregory Olsen,Orbital,1 October 2005,Soyuz TMA-7
441,Fei Junlong,Orbital,12 October 2005,ShenZhou 6
,Nie Haisheng,Orbital,12 October 2005,ShenZhou 6
443,Marcos Pontes,Orbital,30 March 2006,Soyuz TMA-8
444,Michael Fossum,Orbital,4 July 2006,STS-121
,Lisa Nowak,Orbital,4 July 2006,STS-121
,Stephanie Wilson,Orbital,4 July 2006,STS-121
447,Christopher Ferguson,Orbital,9 September 2006,STS-115
,Heidemarie Stefanyshyn-Piper,Orbital,9 September 2006,STS-115
449,Anousheh Ansari,Orbital,18 September 2006,Soyuz TMA-9
450,Christer Fuglesang,Orbital,10 December 2006,STS-116
,Joan Higginbotham,Orbital,10 December 2006,STS-116
,William Oefelein,Orbital,10 December 2006,STS-116
,Nicholas Patrick,Orbital,10 December 2006,STS-116
,Sunita Williams,Orbital,10 December 2006,STS-116
455,Oleg Kotov,Orbital,7 April 2007,Soyuz TMA-10
,Charles Simonyi,Orbital,7 April 2007,Soyuz TMA-10
457,Clayton Anderson,Orbital,8 June 2007,STS-117
,Lee Archambault,Orbital,8 June 2007,STS-117
,John Olivas,Orbital,8 June 2007,STS-117
,Steven Swanson,Orbital,8 June 2007,STS-117
461,Tracy Caldwell-Dyson,Orbital,8 August 2007,STS-118
,Benjamin Drew,Orbital,8 August 2007,STS-118
,Barbara Morgan,Orbital,8 August 2007,STS-118
464,Sheikh Muszaphar,Orbital,10 October 2007,Soyuz TMA-11
465,Paolo Nespoli,Orbital,23 October 2007,STS-120
,Douglas Wheelock,Orbital,23 October 2007,STS-120
