payload_id,name,type,reused,manufacturers,mass_kg,mass_lb,orbit,reference_system,regime
5eb0e4d0b6c3bb0006eeb252,Starlink 4,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5eb0e4d0b6c3bb0006eeb253,CRS-20,Dragon 1.1,True,['SpaceX'],1977.0,4358.539,ISS,geocentric,low-earth
5eb0e4d0b6c3bb0006eeb254,Starlink 5,Satellite,False,['SpaceX'],15600.0,34392.113,VLEO,geocentric,very-low-earth
5eb0e4d1b6c3bb0006eeb255,Starlink 6,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5eb0e4d1b6c3bb0006eeb256,Starlink 7,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5eb0e4d1b6c3bb0006eeb257,CCtCap Demo Mission 2,Crew Dragon,False,['SpaceX'],9525.0,20999.03,ISS,geocentric,low-earth
5eb0e4d1b6c3bb0006eeb258,Starlink 8,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5eb0e4d1b6c3bb0006eeb259,SAOCOM 1B,Satellite,False,[],1600.0,3527.396,SSO,geocentric,sun-synchronous
5eb0e4d1b6c3bb0006eeb25a,Smallsat SSO Rideshare 1,Satellite,False,[],,,SSO,geocentric,sun-synchronous
5eb0e4d2b6c3bb0006eeb25b,ANASIS-II,Satellite,False,['South Korea'],,,GEO,geocentric,geosynchronous
5eb0e4d2b6c3bb0006eeb25c,GPS III SV03 (Columbus),Satellite,False,['Lockheed Martin'],3880.0,8553.94,MEO,,
5eb0e4d2b6c3bb0006eeb25d,SXM-7,Satellite,False,['SSL'],,,GTO,geocentric,geostationary
5eb0e4d2b6c3bb0006eeb25e,GPS III SV04,Satellite,False,['Lockheed Martin'],,,MEO,geocentric,semi-synchronous
5eb0e4d2b6c3bb0006eeb25f,USCV-1 (NASA Crew Flight 1),Crew Dragon,False,['SpaceX'],,,ISS,geocentric,low-earth
5eb0e4d2b6c3bb0006eeb260,SXM-8,Satellite,False,['SSL'],,,GTO,geocentric,geostationary
5eb0e4d2b6c3bb0006eeb261,GPS III SV05,Satellite,False,['Lockheed Martin'],,,MEO,geocentric,semi-synchronous
5eb0e4d3b6c3bb0006eeb262,CRS-21,Dragon 1.1,True,['SpaceX'],,,ISS,geocentric,low-earth
5eb0e4d3b6c3bb0006eeb263,Smallsat SSO Rideshare 2 (Mission 9),Satellite,False,['SpaceX'],,,VLEO,geocentric,very-low-earth
5eb0e4d3b6c3bb0006eeb264,Turksat 5A,Satellite,False,['Airbus Defence and Space'],,,GTO,geocentric,geostationary
5ed9858b1f30554030d45c3e,Starlink-9,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5ed9859f1f30554030d45c3f,Starlink 10,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5ed9867c1f30554030d45c40,Sentinel-6 Michael Freilich,Satellite,False,[],1440.0,3174.657,PO,geocentric,low-earth
5ee522e32f1f3d474c758123,BlackSky Global 5-6,Satellite,False,[],112.0,246.92,VLEO,geocentric,very-low-earth
