launch_id,name,date,rocket_id,launchpad_id,success,failures,ships,capsules,payloads,cores,fairings_reused,fairings_recovery_attempts,fairings_recovered
5eb87d2dffd86e000604b376,ArabSat 6A,2019-04-11T22:35:00.000Z,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,True,[],"['5ea6ed2f080df4000697c90e', '5ea6ed30080df4000697c913', '5ea6ed2f080df4000697c90b', '5ea6ed2e080df4000697c909', '5ea6ed2f080df4000697c90c']",[],['5eb0e4cbb6c3bb0006eeb236'],"[{'core': '5e9e28a6f3591897453b265f', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}, {'core': '5e9e28a6f359183c413b265d', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}, {'core': '5e9e28a6f359188fd53b265e', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb90a834e7c8'}]",False,True,True
5eb87d2effd86e000604b377,CRS-17,2019-05-04T06:48:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed30080df4000697c913', '5ea6ed2f080df4000697c90e', '5ea6ed2f080df4000697c90b']",['5e9e2c5cf3591869b63b2670'],['5eb0e4cbb6c3bb0006eeb237'],"[{'core': '5e9e28a7f3591809313b2660', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",None,None,None
5eb87d30ffd86e000604b378,Starlink v0.9,2019-05-24T02:30:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed30080df4000697c913', '5ea6ed2f080df4000697c90c', '5ea6ed2f080df4000697c90e', '5ea6ed2f080df4000697c90b', '5ea6ed2e080df4000697c909']",[],['5eb0e4cbb6c3bb0006eeb238'],"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,True,True
5eb87d31ffd86e000604b379,RADARSAT Constellation,2019-06-12T14:17:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],[],[],['5eb0e4ccb6c3bb0006eeb239'],"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}]",False,False,
5eb87d35ffd86e000604b37a,STP-2,2019-06-25T03:30:00.000Z,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,True,[],"['5ea6ed30080df4000697c913', '5ea6ed2f080df4000697c90b', '5ea6ed2e080df4000697c909', '5ea6ed2e080df4000697c908', '5ea6ed2f080df4000697c90e']",[],"['5eb0e4ccb6c3bb0006eeb23a', '5eb0e4ccb6c3bb0006eeb23b', '5eb0e4ccb6c3bb0006eeb23c', '5eb0e4ccb6c3bb0006eeb23d', '5eb0e4ccb6c3bb0006eeb23e', '5eb0e4cdb6c3bb0006eeb23f', '5eb0e4cdb6c3bb0006eeb240', '5eb0e4cdb6c3bb0006eeb241', '5eb0e4cdb6c3bb0006eeb242', '5eb0e4cdb6c3bb0006eeb243', '5eb0e4cdb6c3bb0006eeb244', '5eb0e4cdb6c3bb0006eeb245', '5eb0e4ceb6c3bb0006eeb246', '5eb0e4ceb6c3bb0006eeb247', '5eb0e4ceb6c3bb0006eeb248', '5eb0e4ceb6c3bb0006eeb249']","[{'core': '5e9e28a7f3591878063b2661', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}, {'core': '5e9e28a6f359183c413b265d', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}, {'core': '5e9e28a6f359188fd53b265e', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb90a834e7c8'}]",False,True,True
5eb87d36ffd86e000604b37b,CRS-18,2019-07-25T22:01:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],[],['5e9e2c5cf359188bfb3b266b'],['5eb0e4ceb6c3bb0006eeb24a'],"[{'core': '5e9e28a7f3591809313b2660', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",None,None,None
5eb87d37ffd86e000604b37c,Amos-17,2019-08-06T22:52:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c908', '5ea6ed2e080df4000697c909']",[],['5eb0e4cfb6c3bb0006eeb24b'],"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 3, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",False,True,True
5eb87d39ffd86e000604b37d,Starlink 1,2019-11-11T14:56:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c908', '5ea6ed30080df4000697c913', '5ea6ed2e080df4000697c909']",[],['5eb0e4cfb6c3bb0006eeb24c'],"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",True,False,False
5eb87d39ffd86e000604b37e,CRS-19,2019-12-05T17:29:23.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],[],['5e9e2c5bf3591880643b2669'],['5eb0e4cfb6c3bb0006eeb24d'],"[{'core': '5e9e28a7f359187afd3b2662', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",None,None,None
5eb87d3bffd86e000604b37f,JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c908', '5ea6ed2e080df4000697c907', '5ea6ed30080df4000697c913']",[],['5eb0e4cfb6c3bb0006eeb24e'],"[{'core': '5e9e28a7f3591809313b2660', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,True,False
5eb87d3cffd86e000604b380,Starlink 2,2020-01-07T02:19:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c908', '5ea6ed30080df4000697c913', '5ea6ed2e080df4000697c909', '5ea6ed2f080df4000697c90b', '5ea6ed2f080df4000697c90d']",[],['5eb0e4cfb6c3bb0006eeb24f'],"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,True,False
5eb87d3dffd86e000604b381,Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,True,[],['5ea6ed2f080df4000697c90c'],['5e9e2c5df359184c9a3b2672'],['5eb0e4d0b6c3bb0006eeb250'],"[{'core': '5e9e28a5f359182b023b2656', 'flight': 4, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",,,
5eb87d3fffd86e000604b382,Starlink 3,2020-01-29T14:06:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c908', '5ea6ed2e080df4000697c907', '5ea6ed30080df4000697c913', '5ea6ed2f080df4000697c90b', '5ea6ed2f080df4000697c90d']",[],['5eb0e4d0b6c3bb0006eeb251'],"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,True,True
